Date,Open,High,Low,Close,Adj Close,Volume
2/15/2008,138.93219,144.872726,137.015884,144.077469,128.732544,2858118
2/18/2008,138.750137,144.681107,138.750137,140.407745,125.453674,2200760
2/19/2008,141.806641,143.876251,140.867661,141.739578,126.643639,4935313
2/20/2008,141.576691,141.576691,134.141418,136.115219,121.618317,2447949
2/21/2008,137.015884,139.6987,134.754639,135.684052,121.233063,2500190
2/22/2008,135.770279,135.770279,132.225113,133.384476,119.178413,4069537
2/25/2008,134.160583,137.015884,133.183273,135.262451,120.856361,2521251
2/26/2008,136.057724,136.824249,134.170166,134.936691,120.565308,3714271
2/27/2008,135.118729,137.581192,135.099579,135.645721,121.198814,5043067
2/28/2008,135.099579,136.996719,134.783386,136.019394,121.5327,5802862
2/29/2008,136.019394,137.015884,131.516083,134.208496,119.914658,9128636
3/3/2008,134.208496,136.048141,131.266953,133.202423,119.015739,3717396
3/4/2008,134.716309,135.473251,131.918503,134.563004,120.231415,4478580
3/5/2008,134.716309,136.431412,134.141418,134.975006,120.599525,3383989
3/7/2008,134.352219,134.352219,126.092934,128.737442,115.026306,2986469
3/10/2008,128.871582,134.083923,117.210854,129.312332,115.539963,2751606
3/11/2008,129.350647,129.350647,124.579056,125.192268,111.858704,4872478
3/12/2008,128.200867,128.200867,122.31781,123.620895,110.454689,8750288
3/13/2008,122.643585,129.350647,117.689934,119.069672,106.388206,4636185
3/14/2008,119.577492,123.601738,119.577492,122.193253,109.179092,2572245
3/17/2008,119.769127,120.669785,114.42263,116.779686,104.342102,4033244
3/18/2008,116.779686,119.769127,114.403465,118.705574,106.062874,6948718
3/19/2008,121.321335,125.518044,121.110535,124.684448,111.404968,5817860
3/24/2008,124.933571,128.382919,124.933571,127.089417,113.553795,5568938
3/25/2008,128.392502,131.266953,128.392502,130.327972,116.447433,2908533
3/26/2008,132.225113,132.991638,124.761101,130.069275,116.216293,9343419
3/27/2008,128.392502,129.082367,120.411087,125.585114,112.209709,21297491
3/28/2008,125.326408,125.326408,121.321335,123.802948,110.617348,11992442
3/31/2008,122.835213,123.601738,118.303146,119.328377,106.619339,6071796
4/1/2008,119.769127,121.781242,117.900726,120.382339,107.56105,3258634
4/2/2008,123.02684,123.02684,120.918907,121.829155,108.853783,5036429
4/3/2008,122.643585,124.559891,118.820557,120.573975,107.732285,4592998
4/4/2008,120.72728,121.63752,115.649063,117.412071,104.907143,3799920
4/7/2008,117.852821,121.685432,117.709091,121.120117,108.220245,5597790
4/8/2008,121.70459,121.70459,119.194229,120.650627,107.800758,2530488
4/9/2008,119.194229,121.445892,119.002602,121.06263,108.168892,1844376
4/10/2008,118.810974,122.835213,118.619339,119.443352,106.722076,12419451
4/11/2008,121.493797,121.685432,118.715157,119.280464,106.57653,1673714
4/15/2008,118.236076,121.474632,115.419106,119.491257,106.76487,3418128
4/16/2008,120.72728,121.30217,117.182114,117.574951,105.052666,4550343
4/17/2008,119.002602,119.539169,117.757004,118.322311,105.720436,3572607
4/21/2008,118.810974,121.072212,118.810974,119.203812,106.508041,1883211
4/22/2008,119.769127,121.627937,118.427711,121.26384,108.348671,2685411
4/23/2008,121.30217,122.413628,121.158447,121.771667,108.802406,1415196
4/24/2008,122.260323,124.559891,119.510422,122.854378,109.769806,4902458
4/25/2008,123.812531,125.652184,121.714172,122.509445,109.461617,3172718
4/28/2008,123.419685,124.157463,120.152382,121.512962,108.571266,1729384
4/29/2008,121.87706,124.282028,121.014725,122.614838,109.555786,1437896
4/30/2008,123.19931,128.200867,123.19931,127.338531,113.77639,4623536
